ticker,name,sector,price,pe_ratio,pb_ratio,roe,debt_to_equity,dividend_yield,dma50,dma200,year_high,year_low,momentum_1m_pct,pct_from_52w_high,score,news_sentiment,news_mentions
ITC.NS,ITC LTD,Consumer Defensive,267.6,17.044586,4.6242375,0.16101499,3.293,5.92,272.61,316.66,406.57,255.5,-0.52,-34.18,69.15,0,0
NTPC.NS,NTPC LTD,Utilities,326.4,9.96337,1.5584117,0.16101499,128.345,3.79,334.87,348.5,409.97,309.84,-0.29,-20.38,68.86,0,0
TCS.NS,TATA CONSULTANCY SERV LT,Technology,2046.9,14.881844,6.754473,0.47743,10.211,3.11,2288.79,2579.85,3287.16,1966.02,-8.96,-37.73,65.4,0,0
HDFCBANK.NS,HDFC BANK LTD,Financial Services,729.8,16.124613,1.8531638,0.13838,27.398,1.76,727.8,842.45,1003.9,681.9,2.64,-27.3,64.29,0,1
INFY.NS,INFOSYS LIMITED,Technology,993.1,12.883268,4.3592277,0.32,9.541,4.9,1106.13,1295.35,1691.4,982.4,-10.6,-41.29,62.48,0,0
SBIN.NS,STATE BANK OF INDIA,Financial Services,984.6,10.692875,1.46131,0.15177,27.398,1.75,1029.92,1007.82,1212.84,837.9,-5.59,-18.82,61.86,0,0
WIPRO.NS,WIPRO LTD,Technology,162.13,12.980785,2.0700972,0.16128999,27.398,4.85,176.69,207.2,263.22,161.66,-8.09,-38.41,59.79,0,0
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,1339.0,17.38961,2.524619,0.16073999,27.398,0.9,1409.48,1348.74,1467.63,1177.67,-7.21,-8.76,59.66,0,0
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,405.45,20.26237,2.2252896,0.16101499,27.398,0.16,403.29,404.16,452.42,344.9,-4.42,-10.38,59.25,0,0
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,1195.9,14.097607,1.6666504,0.13352999,27.398,0.08,1242.87,1273.66,1417.21,1124.53,-4.79,-15.62,57.63,0,0
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,1848.1,36.998997,5.3059816,0.16101499,5.517,0.86,1913.82,1781.63,2046.9,1533.99,-3.41,-9.71,56.38,0,1
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,Basic Materials,11096.0,38.25811,4.259334,0.16101499,29.432,2.15,11493.53,11563.07,12847.76,10118.47,-5.3,-13.63,56.1,0,0
LT.NS,LARSEN & TOUBRO LTD.,Industrials,3883.9,32.789364,4.888668,0.16101499,97.64,0.97,3962.4,3937.09,4397.05,3256.29,-3.55,-11.67,54.3,0,0
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,1219.5,22.62943,1.8254759,0.16101499,36.653,0.48,1288.7,1384.41,1604.38,1210.5,-4.89,-23.99,54.06,0,3
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,1796.0,38.318756,6.9215617,0.20151,100.415,1.31,1896.34,1919.88,2147.47,1718.87,-4.38,-16.37,51.52,0,0
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,1927.0,43.14823,9.289612,0.16101499,3.016,2.26,2028.3,2229.9,2619.75,1925.5,-4.08,-26.44,49.05,0,0
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,12036.0,26.912327,3.5314133,0.16101499,0.096,1.14,13233.84,14298.2,17197.29,11975.0,-10.45,-30.01,47.2,0,0
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,2406.9,49.80136,10.802622,0.16101499,17.847,1.12,2611.22,2563.3,2960.02,2096.81,-8.52,-18.69,41.45,0,1
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Financial Services,988.6,32.265015,5.392138,0.16101499,314.833,0.52,1065.32,984.02,1176.4,783.09,-8.72,-15.96,39.62,0,0
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,4842.5,75.3462,27.377626,0.16101499,195.001,0.31,4956.42,4248.77,5186.7,3292.3,-5.78,-6.64,22.65,0,0
