ticker,name,sector,price,pe_ratio,pb_ratio,roe,debt_to_equity,dividend_yield,dma50,dma200,year_high,year_low,momentum_1m_pct,pct_from_52w_high,score,news_sentiment,news_mentions
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,417.15,20.428501,2.2895043,0.16101499,27.398,0.16,400.49,404.08,452.42,344.9,4.98,-7.8,67.1,0,0
ITC.NS,ITC LTD,Consumer Defensive,264.25,16.68245,4.566348,0.16101499,3.293,6.1,273.37,318.24,406.57,255.5,-1.91,-35.01,65.63,0,0
NTPC.NS,NTPC LTD,Utilities,326.4,9.984705,1.5584117,0.16101499,128.345,3.82,335.97,348.67,409.97,309.84,-2.96,-20.38,64.91,0,0
TCS.NS,TATA CONSULTANCY SERV LT,Technology,2101.0,15.261132,6.933673,0.47743,10.211,3.09,2298.62,2591.92,3287.16,1966.02,-8.73,-36.08,64.55,0,0
INFY.NS,INFOSYS LIMITED,Technology,1034.6,13.279424,4.6101775,0.32,9.541,4.76,1111.86,1301.58,1691.4,982.4,-7.71,-38.83,63.71,0,0
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,1248.9,14.053111,1.7405132,0.13352999,27.398,0.08,1250.8,1273.17,1417.21,1124.53,0.25,-11.88,62.37,0,0
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,1348.1,17.419563,2.5417767,0.16073999,27.398,0.9,1415.26,1349.3,1467.63,1177.67,-5.06,-8.14,61.35,0,0
SBIN.NS,STATE BANK OF INDIA,Financial Services,992.1,10.606157,1.4724412,0.15177,27.398,1.74,1033.38,1006.25,1212.84,836.13,-5.4,-18.2,61.33,0,0
HDFCBANK.NS,HDFC BANK LTD,Financial Services,738.0,16.127623,1.8739859,0.13838,27.398,1.78,734.14,845.36,1003.9,681.9,1.52,-26.49,61.3,0,0
WIPRO.NS,WIPRO LTD,Technology,163.67,12.989682,2.0897598,0.16128999,27.398,4.8,177.49,208.27,263.22,163.3,-9.47,-37.82,57.11,0,1
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,1866.4,37.075886,5.358522,0.16101499,5.517,0.87,1922.8,1778.32,2046.9,1533.99,-1.97,-8.82,56.89,0,1
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,Basic Materials,11032.0,38.084717,4.234767,0.16101499,29.432,2.18,11514.7,11575.82,12847.76,10118.47,-4.65,-14.13,55.59,0,0
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,1240.3,22.473276,1.8566116,0.16101499,36.653,0.49,1294.26,1386.78,1604.38,1226.4,-5.75,-22.69,52.72,0,2
LT.NS,LARSEN & TOUBRO LTD.,Industrials,3890.6,32.303223,4.8971014,0.16101499,97.64,0.98,3955.8,3934.11,4397.05,3256.29,-4.95,-11.52,52.37,0,0
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,1848.5,38.590813,7.1238904,0.20151,100.415,1.27,1903.66,1921.68,2147.47,1718.87,-5.01,-13.92,50.51,0,0
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,1949.8,43.30964,9.399526,0.16101499,3.016,2.28,2046.74,2239.08,2619.75,1926.2,-3.86,-25.57,47.74,0,0
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,12138.0,26.602087,3.5613406,0.16101499,0.096,1.16,13346.91,14352.06,17197.29,12079.68,-10.52,-29.42,46.69,0,1
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Financial Services,1030.8,31.658476,5.6223106,0.16101499,314.833,0.52,1067.64,983.96,1176.4,783.09,-5.86,-12.38,42.92,0,0
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,2455.8,49.352898,11.022096,0.16101499,17.847,1.12,2630.96,2564.05,2960.02,2096.81,-6.98,-17.03,42.53,0,1
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,4782.5,73.8268,27.03841,0.16101499,195.001,0.31,4933.24,4228.67,5186.7,3292.3,-5.97,-7.79,21.75,0,0
