ticker,name,sector,price,pe_ratio,pb_ratio,roe,debt_to_equity,dividend_yield,dma50,dma200,year_high,year_low,momentum_1m_pct,pct_from_52w_high,score,news_sentiment,news_mentions
ITC.NS,ITC LTD,Consumer Defensive,267.3,16.875,4.6190534,0.16101499,3.293,6.1,273.43,318.25,406.57,255.5,-0.78,-34.25,67.66,0,0
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,415.45,20.345251,2.280174,0.16101499,27.398,0.16,401.02,404.11,452.42,344.9,3.14,-8.17,66.3,0,0
TCS.NS,TATA CONSULTANCY SERV LT,Technology,2118.8,15.390427,6.9924164,0.47743,10.211,3.09,2298.97,2591.99,3287.16,1966.02,-7.96,-35.54,65.14,0,0
NTPC.NS,NTPC LTD,Utilities,326.75,9.995412,1.5600829,0.16101499,128.345,3.82,335.98,348.68,409.97,309.84,-2.86,-20.3,65.12,0,0
HDFCBANK.NS,HDFC BANK LTD,Financial Services,746.2,16.30682,1.894808,0.13838,27.398,1.78,734.3,845.39,1003.9,681.9,2.65,-25.67,63.65,0,0
INFY.NS,INFOSYS LIMITED,Technology,1031.8,13.243486,4.52819,0.32,9.541,4.76,1111.8,1301.57,1691.4,982.4,-7.96,-39.0,63.38,0,0
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,1248.3,14.04636,1.7396771,0.13352999,27.398,0.08,1250.79,1273.16,1417.21,1124.53,0.2,-11.92,62.71,0,0
SBIN.NS,STATE BANK OF INDIA,Financial Services,996.5,10.653196,1.4789716,0.15177,27.398,1.74,1033.47,1006.27,1212.84,836.13,-4.98,-17.84,61.5,0,0
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,1344.0,17.366585,2.5340464,0.16073999,27.398,0.9,1415.18,1349.29,1467.63,1177.67,-5.35,-8.42,60.48,0,1
WIPRO.NS,WIPRO LTD,Technology,164.27,13.037301,2.097421,0.16128999,27.398,4.8,177.5,208.27,263.22,163.3,-9.14,-37.59,57.06,0,0
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,1864.1,37.030193,5.3519187,0.16101499,5.517,0.87,1921.08,1778.54,2046.9,1533.99,-2.01,-8.93,57.0,0,0
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,Basic Materials,11078.0,38.243515,4.2524247,0.16101499,29.432,2.18,11515.62,11576.0,12847.76,10118.47,-4.25,-13.77,55.94,0,0
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,1246.4,22.583803,1.8657427,0.16101499,36.653,0.49,1294.39,1386.81,1604.38,1226.4,-5.29,-22.31,53.07,0,0
LT.NS,LARSEN & TOUBRO LTD.,Industrials,3922.7,32.569744,4.9375057,0.16101499,97.64,0.98,3956.44,3934.24,4397.05,3256.29,-4.16,-10.79,53.05,0,0
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,1826.8,38.137787,7.0402617,0.20151,100.415,1.27,1903.23,1921.59,2147.47,1718.87,-6.13,-14.93,49.1,0,0
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,1948.4,43.27854,9.3927765,0.16101499,3.016,2.28,2042.74,2237.85,2619.75,1926.2,-3.31,-25.63,48.7,0,0
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,12233.0,26.810291,3.589214,0.16101499,0.096,1.16,13348.81,14352.44,17197.29,12079.68,-9.82,-28.87,46.79,0,0
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,2458.7,49.411175,11.03511,0.16101499,17.847,1.12,2631.02,2564.06,2960.02,2096.81,-6.87,-16.94,42.43,0,1
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Financial Services,1025.5,31.495699,5.5934024,0.16101499,314.833,0.52,1067.39,984.06,1176.4,783.09,-6.35,-12.83,41.97,0,0
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,4891.0,75.5017,27.651827,0.16101499,195.001,0.31,4935.41,4229.1,5186.7,3292.3,-3.84,-5.7,23.85,0,0
