ticker,name,sector,price,pe_ratio,pb_ratio,roe,debt_to_equity,dividend_yield,dma50,dma200,year_high,year_low,momentum_1m_pct,pct_from_52w_high,score,news_sentiment,news_mentions
TCS.NS,TATA CONSULTANCY SERV LT,Technology,2204.1,16.022827,7.2739215,0.47743,10.211,2.94,2284.37,2616.97,3287.16,1966.02,-6.2,-32.95,67.35,0,0
NTPC.NS,NTPC LTD,Utilities,335.0,10.241517,1.5994729,0.16101499,118.127,3.69,338.5,348.46,409.97,309.84,-0.24,-18.29,66.36,0,0
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,416.55,20.409113,2.2862113,0.16101499,27.398,0.16,396.17,403.68,452.42,344.9,6.67,-7.93,65.69,0,0
ITC.NS,ITC LTD,Consumer Defensive,259.3,16.38029,4.48081,0.16101499,3.293,6.13,276.5,322.18,406.57,255.5,-6.1,-36.22,62.32,0,0
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,1384.5,17.894531,2.6104074,0.16073999,27.398,0.86,1420.07,1350.73,1467.63,1177.67,-3.3,-5.66,61.94,0,0
INFY.NS,INFOSYS LIMITED,Technology,1036.5,13.533099,4.6186438,0.32,9.541,4.83,1113.76,1313.86,1691.4,982.4,-11.87,-38.72,61.72,0,0
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,1246.0,14.031531,1.7364717,0.13352999,27.398,0.08,1264.03,1268.82,1417.21,1054.29,1.32,-12.08,61.25,0,0
SBIN.NS,STATE BANK OF INDIA,Financial Services,1009.7,10.793159,1.4985626,0.15177,27.398,1.73,1039.38,1000.87,1212.84,796.05,-6.68,-16.75,60.1,0,0
WIPRO.NS,WIPRO LTD,Technology,166.3,13.208896,2.1233401,0.16128999,27.398,4.79,178.29,210.58,263.22,166.0,-9.59,-36.82,58.04,0,0
HDFCBANK.NS,HDFC BANK LTD,Financial Services,693.8,15.161714,1.7617499,0.13838,27.398,1.89,748.03,852.26,1003.9,686.2,-4.83,-30.89,54.87,0,1
LT.NS,LARSEN & TOUBRO LTD.,Industrials,3955.0,32.843384,4.978162,0.16101499,97.64,0.97,3967.41,3924.69,4397.05,3256.29,-1.62,-10.05,54.13,0,0
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,1861.0,36.961273,5.3430185,0.16101499,5.517,0.86,1930.23,1771.1,2046.9,1533.99,-4.27,-9.08,54.02,0,1
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,1274.0,23.058823,1.9070572,0.16101499,36.653,0.47,1302.13,1390.98,1604.38,1249.8,-4.14,-20.59,53.98,0,2
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,Basic Materials,10979.0,37.866455,4.214422,0.16101499,29.432,2.2,11581.91,11616.78,12847.76,10118.47,-7.67,-14.55,52.87,0,0
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,1839.0,38.38447,7.087279,0.20151,100.415,1.32,1910.29,1923.17,2147.47,1718.87,-5.45,-14.36,49.75,0,0
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,12590.0,27.639349,3.6939592,0.16101499,0.096,1.11,13583.55,14441.3,17197.29,12079.68,-9.26,-26.79,48.73,0,0
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,1942.3,43.22947,9.36337,0.16101499,3.016,2.26,2079.69,2257.05,2619.75,1936.0,-5.94,-25.86,46.29,0,0
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Financial Services,1043.5,32.078083,5.6915803,0.16101499,314.833,0.52,1067.29,983.08,1176.4,783.09,-4.63,-11.3,43.38,0,0
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,2498.1,50.182808,11.211946,0.16101499,17.847,1.1,2666.32,2564.8,2960.02,2096.81,-8.83,-15.61,41.58,0,0
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,5021.0,77.163055,28.386797,0.16101499,195.001,0.3,4885.5,4188.36,5186.7,3292.3,-1.53,-3.19,25.02,0,0
