ticker,name,sector,price,pe_ratio,pb_ratio,roe,debt_to_equity,dividend_yield,dma50,dma200,year_high,year_low,momentum_1m_pct,pct_from_52w_high,score,news_sentiment,news_mentions
TCS.NS,TATA CONSULTANCY SERV LT,Technology,2167.2,16.204575,7.1521444,0.47743,10.211,2.89,2298.59,2601.12,3287.16,1966.02,-5.32,-34.07,66.48,0,1
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,415.6,20.106434,2.2809973,0.16101499,27.398,0.16,399.66,404.08,452.42,344.9,6.5,-8.14,66.29,0,0
ITC.NS,ITC LTD,Consumer Defensive,265.3,16.748737,4.584492,0.16101499,3.293,6.2,274.05,319.55,406.57,255.5,-0.66,-34.75,65.71,0,0
NTPC.NS,NTPC LTD,Utilities,328.35,10.109331,1.5672446,0.16101499,128.345,3.75,336.73,348.62,409.97,309.84,-1.38,-19.91,64.75,0,0
INFY.NS,INFOSYS LIMITED,Technology,1051.8,13.877821,4.6562634,0.32,9.541,4.64,1113.42,1305.72,1691.4,982.4,-6.07,-37.81,64.22,0,1
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,1355.0,17.40303,2.5547864,0.16073999,27.398,0.89,1417.41,1350.01,1467.63,1177.67,-3.35,-7.67,61.62,0,0
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,1241.7,13.763023,1.7304789,0.13352999,27.398,0.08,1254.19,1271.66,1417.21,1115.24,-0.1,-12.38,60.52,0,0
SBIN.NS,STATE BANK OF INDIA,Financial Services,992.2,10.61063,1.4725897,0.15177,27.398,1.79,1035.14,1004.42,1212.84,816.29,-5.38,-18.19,60.43,0,0
WIPRO.NS,WIPRO LTD,Technology,165.46,13.37591,2.112615,0.16128999,27.398,4.71,177.86,209.06,263.22,165.02,-7.85,-37.14,57.7,0,1
HDFCBANK.NS,HDFC BANK LTD,Financial Services,714.5,15.522486,1.8143129,0.13838,27.398,1.81,737.65,847.54,1003.9,681.9,-0.76,-28.83,57.59,0,0
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,1851.9,36.70036,5.316892,0.16101499,5.517,0.87,1925.58,1775.79,2046.9,1533.99,-1.24,-9.53,56.07,0,1
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,Basic Materials,10797.0,37.24516,4.1445594,0.16101499,29.432,2.24,11542.63,11593.29,12847.76,10118.47,-6.1,-15.96,53.28,0,0
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,1248.0,22.600506,1.8681377,0.16101499,36.653,0.49,1297.11,1388.24,1604.38,1235.3,-4.81,-22.21,52.73,0,2
LT.NS,LARSEN & TOUBRO LTD.,Industrials,3829.7,32.133747,4.8204465,0.16101499,97.64,0.99,3957.64,3931.03,4397.05,3256.29,-5.24,-12.9,50.78,0,0
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,1832.6,38.26686,7.062614,0.20151,100.415,1.31,1904.25,1922.09,2147.47,1718.87,-4.65,-14.66,49.85,0,0
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,1961.0,43.079964,9.453518,0.16101499,3.016,2.27,2054.83,2244.85,2619.75,1926.2,-3.64,-25.15,47.32,0,0
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,12229.0,26.948587,3.5880404,0.16101499,0.096,1.14,13405.41,14385.03,17197.29,12079.68,-10.67,-28.89,46.32,0,0
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Financial Services,1021.0,31.415384,5.568858,0.16101499,314.833,0.54,1067.05,983.8,1176.4,783.09,-5.48,-13.21,42.17,0,0
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,2431.3,48.880177,10.912134,0.16101499,17.847,1.14,2644.1,2564.17,2960.02,2096.81,-7.5,-17.86,41.56,0,1
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,4901.0,75.318886,27.708363,0.16101499,195.001,0.31,4919.48,4212.88,5186.7,3292.3,-2.92,-5.51,23.71,0,0
