ticker,name,sector,price,pe_ratio,pb_ratio,roe,debt_to_equity,dividend_yield,dma50,dma200,year_high,year_low,momentum_1m_pct,pct_from_52w_high,score,news_sentiment,news_mentions
TCS.NS,TATA CONSULTANCY SERV LT,Technology,2311.2,16.800436,7.62638,0.47743,10.211,2.95,2292.04,2609.54,3287.16,1966.02,-2.11,-29.69,69.65,0,2
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,412.8,20.22538,2.2656295,0.16101499,27.398,0.16,397.27,403.89,452.42,344.9,5.53,-8.76,65.64,0,0
NTPC.NS,NTPC LTD,Utilities,329.8,10.085627,1.5746452,0.16101499,118.127,3.7,337.67,348.65,409.97,309.84,-1.95,-19.56,64.32,0,0
INFY.NS,INFOSYS LIMITED,Technology,1095.1,14.222077,4.8797655,0.32,9.541,4.82,1114.63,1310.05,1691.4,982.4,-6.34,-35.25,64.31,0,0
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,1369.5,17.698372,2.5821254,0.16073999,27.398,0.87,1418.75,1350.38,1467.63,1177.67,-3.35,-6.69,61.7,0,0
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,1240.5,13.963305,1.7288066,0.13352999,27.398,0.08,1259.71,1270.8,1417.21,1099.15,1.53,-12.47,61.6,0,1
ITC.NS,ITC LTD,Consumer Defensive,263.4,16.618296,4.5516596,0.16101499,3.293,6.17,275.4,320.83,406.57,255.5,-5.32,-35.21,61.3,0,0
WIPRO.NS,WIPRO LTD,Technology,172.55,13.705321,2.203141,0.16128999,27.398,4.78,178.16,209.85,263.22,165.16,-6.22,-34.45,59.05,0,0
SBIN.NS,STATE BANK OF INDIA,Financial Services,991.5,10.604278,1.4715508,0.15177,27.398,1.72,1037.57,1003.12,1212.84,806.56,-7.14,-18.25,58.31,0,0
HDFCBANK.NS,HDFC BANK LTD,Financial Services,724.0,15.825136,1.838436,0.13838,27.398,1.84,744.05,849.99,1003.9,681.9,-0.41,-27.88,57.75,0,2
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,1843.4,36.55494,5.2916265,0.16101499,5.517,0.87,1927.74,1773.8,2046.9,1533.99,-4.49,-9.94,53.37,0,2
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,Basic Materials,10906.0,37.555096,4.1864004,0.16101499,29.432,2.18,11561.71,11604.94,12847.76,10118.47,-6.14,-15.11,52.89,0,0
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,1252.6,22.692028,1.8750234,0.16101499,36.653,0.47,1299.82,1390.04,1604.38,1249.2,-4.38,-21.93,52.53,0,2
LT.NS,LARSEN & TOUBRO LTD.,Industrials,3877.4,32.136406,4.881116,0.16101499,97.64,0.96,3962.22,3929.33,4397.05,3256.29,-4.43,-11.82,51.39,0,0
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,1829.9,38.290436,7.0522084,0.20151,100.415,1.31,1907.74,1922.97,2147.47,1718.87,-8.14,-14.79,46.73,0,0
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,12402.0,27.178295,3.6387994,0.16101499,0.096,1.11,13508.88,14418.07,17197.29,12079.68,-10.35,-27.88,45.77,0,0
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,1958.7,43.44422,9.443395,0.16101499,3.016,2.27,2069.17,2250.8,2619.75,1926.2,-6.37,-25.23,44.59,0,0
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Financial Services,1027.4,31.52501,5.6037655,0.16101499,314.833,0.52,1067.32,983.56,1176.4,783.09,-5.48,-12.67,41.92,0,0
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,2459.2,49.480885,11.037354,0.16101499,17.847,1.1,2655.1,2564.51,2960.02,2096.81,-8.79,-16.92,40.08,0,1
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,4944.0,75.92137,27.951468,0.16101499,195.001,0.3,4906.24,4201.91,5186.7,3292.3,-2.22,-4.68,24.45,0,1
