ticker,name,sector,price,pe_ratio,pb_ratio,roe,debt_to_equity,dividend_yield,dma50,dma200,year_high,year_low,momentum_1m_pct,pct_from_52w_high,score,news_sentiment,news_mentions
TCS.NS,TATA CONSULTANCY SERV LT,Technology,2254.9,16.027435,7.44157,0.47743,10.211,2.95,2297.33,2604.77,3287.16,1966.02,-1.1,-31.4,69.97,1,2
INFY.NS,INFOSYS LIMITED,Technology,1079.8,13.512702,4.811589,0.32,9.541,4.82,1113.79,1307.41,1691.4,982.4,-3.16,-36.16,66.61,0,0
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,412.4,20.661324,2.2634342,0.16101499,27.398,0.16,398.83,404.02,452.42,344.9,6.38,-8.85,66.08,0,2
NTPC.NS,NTPC LTD,Utilities,329.1,10.182549,1.5713031,0.16101499,118.127,3.7,337.0,348.62,409.97,309.84,-1.32,-19.73,64.72,0,0
ITC.NS,ITC LTD,Consumer Defensive,263.4,16.734434,4.5516596,0.16101499,3.293,6.16,274.37,320.05,406.57,255.5,-2.44,-35.21,63.45,0,0
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,1356.0,17.898626,2.5566719,0.16073999,27.398,0.87,1417.64,1350.22,1467.63,1177.67,-3.97,-7.61,60.94,0,1
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,1228.9,13.832734,1.7126405,0.13352999,27.398,0.08,1255.28,1271.13,1417.21,1103.15,0.13,-13.29,60.21,0,0
WIPRO.NS,WIPRO LTD,Technology,169.79,13.285603,2.1679008,0.16128999,27.398,4.78,178.02,209.38,263.22,165.16,-4.64,-35.5,59.99,0,0
SBIN.NS,STATE BANK OF INDIA,Financial Services,981.5,10.497326,1.4567091,0.15177,27.398,1.74,1035.54,1003.68,1212.84,807.1,-6.79,-19.07,58.45,0,0
HDFCBANK.NS,HDFC BANK LTD,Financial Services,716.15,15.470944,1.8185028,0.13838,27.398,1.84,739.6,848.46,1003.9,681.9,-0.95,-28.66,57.06,0,0
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,1843.9,36.57081,5.2939234,0.16101499,5.517,0.87,1925.42,1775.05,2046.9,1533.99,-1.66,-9.92,55.74,0,1
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,Basic Materials,10820.0,37.258953,4.153388,0.16101499,29.432,2.18,11543.09,11596.29,12847.76,10118.47,-5.9,-15.78,53.12,0,0
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,1249.4,22.634058,1.8702334,0.16101499,36.653,0.48,1297.93,1388.88,1604.38,1235.3,-5.49,-22.13,51.73,0,2
LT.NS,LARSEN & TOUBRO LTD.,Industrials,3864.7,32.690746,4.864501,0.16101499,97.64,0.97,3959.91,3930.48,4397.05,3256.29,-4.91,-12.11,50.97,0,0
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,1830.7,38.323215,7.055291,0.20151,100.415,1.31,1905.65,1922.4,2147.47,1718.87,-5.35,-14.75,49.11,0,0
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,1967.8,43.391403,9.4862995,0.16101499,3.016,2.28,2058.44,2247.16,2619.75,1926.2,-4.24,-24.89,46.53,0,0
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,12329.0,27.391691,3.6173809,0.16101499,0.096,1.13,13435.92,14398.33,17197.29,12079.68,-9.95,-28.31,46.1,0,0
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,2431.0,50.331264,10.910788,0.16101499,17.847,1.11,2644.1,2563.74,2960.02,2096.81,-7.51,-17.87,40.81,0,0
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Financial Services,1014.2,31.903114,5.531769,0.16101499,314.833,0.52,1066.87,983.73,1176.4,783.09,-7.32,-13.79,40.17,0,0
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,4874.0,77.205765,27.555716,0.16101499,195.001,0.3,4918.94,4210.13,5186.7,3292.3,-3.46,-6.03,23.02,0,0
