ticker,name,sector,price,pe_ratio,pb_ratio,roe,debt_to_equity,dividend_yield,dma50,dma200,year_high,year_low,momentum_1m_pct,pct_from_52w_high,score,news_sentiment,news_mentions
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,416.5,20.326988,2.2859368,0.16101499,27.398,0.16,400.47,404.11,452.42,344.9,4.82,-7.94,66.54,0,0
NTPC.NS,NTPC LTD,Utilities,328.65,9.971177,1.5691545,0.16101499,128.345,3.78,336.51,348.63,409.97,309.84,-1.57,-19.84,65.7,0,0
ITC.NS,ITC LTD,Consumer Defensive,265.25,16.609266,4.5836287,0.16101499,3.293,6.06,273.74,319.05,406.57,255.5,-2.36,-34.76,65.07,0,1
TCS.NS,TATA CONSULTANCY SERV LT,Technology,2123.6,15.414882,7.0075965,0.47743,10.211,2.97,2300.36,2597.55,3287.16,1966.02,-7.59,-35.4,64.99,1,2
INFY.NS,INFOSYS LIMITED,Technology,1046.0,13.503678,4.6323576,0.32,9.541,4.72,1113.11,1304.08,1691.4,982.4,-7.43,-38.16,63.7,0,0
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,1246.8,14.043704,1.7375866,0.13352999,27.398,0.08,1253.16,1272.14,1417.21,1120.34,0.96,-12.02,62.38,0,0
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,1349.5,17.599113,2.5444164,0.16073999,27.398,0.88,1416.46,1349.75,1467.63,1177.67,-4.42,-8.05,61.16,0,0
SBIN.NS,STATE BANK OF INDIA,Financial Services,987.1,10.587793,1.4650204,0.15177,27.398,1.75,1034.1,1004.98,1212.84,834.26,-5.81,-18.61,60.27,0,0
HDFCBANK.NS,HDFC BANK LTD,Financial Services,716.3,15.847344,1.8188837,0.13838,27.398,1.8,735.44,846.61,1003.9,681.9,-1.21,-28.65,58.05,0,1
WIPRO.NS,WIPRO LTD,Technology,164.78,13.12988,2.1039326,0.16128999,27.398,4.79,177.7,208.74,263.22,164.42,-8.96,-37.4,57.21,0,1
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,1873.8,36.89309,5.379768,0.16101499,5.517,0.86,1922.95,1777.23,2046.9,1533.99,-1.59,-8.46,56.91,0,1
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,Basic Materials,10865.0,37.24717,4.170662,0.16101499,29.432,2.24,11517.87,11583.26,12847.76,10118.47,-6.13,-15.43,53.82,0,0
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,1244.7,22.487804,1.8631978,0.16101499,36.653,0.48,1295.76,1387.58,1604.38,1235.3,-5.22,-22.42,52.72,0,2
LT.NS,LARSEN & TOUBRO LTD.,Industrials,3872.3,31.841953,4.8740673,0.16101499,97.64,1.0,3956.3,3931.94,4397.05,3256.29,-5.11,-11.93,51.75,0,0
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,1843.4,38.46828,7.1042356,0.20151,100.415,1.31,1903.26,1921.81,2147.47,1718.87,-5.06,-14.16,50.09,0,0
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,1946.5,43.761242,9.383616,0.16101499,3.016,2.24,2050.49,2242.48,2619.75,1926.2,-3.67,-25.7,47.43,0,0
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,12401.0,26.80312,3.638506,0.16101499,0.096,1.15,13381.29,14372.6,17197.29,12079.68,-10.2,-27.89,46.92,0,0
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,2464.2,48.7636,11.063386,0.16101499,17.847,1.14,2635.14,2563.66,2960.02,2096.81,-6.13,-16.75,43.18,0,1
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Financial Services,1025.5,31.457056,5.5934024,0.16101499,314.833,0.54,1067.14,983.75,1176.4,783.09,-5.06,-12.83,43.0,0,0
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,4862.0,75.04244,27.487871,0.16101499,195.001,0.31,4930.89,4220.76,5186.7,3292.3,-4.06,-6.26,23.19,0,0
