ticker,name,sector,price,pe_ratio,pb_ratio,roe,debt_to_equity,dividend_yield,dma50,dma200,year_high,year_low,momentum_1m_pct,pct_from_52w_high,score,news_sentiment,news_mentions
NTPC.NS,NTPC LTD,Utilities,334.5,10.226231,1.5970856,0.16101499,118.127,3.69,338.49,348.58,409.97,309.84,-0.39,-18.41,67.34,0,1
TCS.NS,TATA CONSULTANCY SERV LT,Technology,2220.8,16.172443,7.3290343,0.47743,10.211,2.94,2287.15,2613.93,3287.16,1966.02,-6.49,-32.44,67.23,0,0
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,409.5,19.936708,2.2475178,0.16101499,27.398,0.16,396.44,403.74,452.42,344.9,4.36,-9.49,65.6,0,0
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,1371.0,17.777489,2.5849535,0.16073999,27.398,0.86,1419.5,1350.65,1467.63,1177.67,-2.54,-6.58,63.18,0,0
ITC.NS,ITC LTD,Consumer Defensive,260.15,16.527954,4.495498,0.16101499,3.293,6.13,275.9,321.65,406.57,255.5,-6.59,-36.01,61.93,0,1
INFY.NS,INFOSYS LIMITED,Technology,1044.3,13.615386,4.653401,0.32,9.541,4.83,1113.7,1312.14,1691.4,982.4,-11.12,-38.26,61.62,0,0
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,1233.5,13.806806,1.7190511,0.13352999,27.398,0.08,1261.47,1269.47,1417.21,1068.18,0.28,-12.96,61.6,0,1
SBIN.NS,STATE BANK OF INDIA,Financial Services,997.0,10.560322,1.4797137,0.15177,27.398,1.73,1038.52,1001.63,1212.84,804.5,-7.94,-17.8,59.07,0,0
WIPRO.NS,WIPRO LTD,Technology,166.81,13.302233,2.1298518,0.16128999,27.398,4.79,178.15,210.27,263.22,165.16,-8.9,-36.63,58.17,0,0
HDFCBANK.NS,HDFC BANK LTD,Financial Services,685.5,14.834452,1.7406739,0.13838,27.398,1.89,745.72,851.21,1003.9,681.9,-5.45,-31.72,54.44,0,0
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,1263.9,22.963299,1.8919384,0.16101499,36.653,0.47,1301.33,1390.55,1604.38,1249.8,-4.03,-21.22,54.38,0,2
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,1844.4,36.63158,5.295359,0.16101499,5.517,0.86,1929.9,1771.8,2046.9,1533.99,-5.12,-9.89,53.78,0,1
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,Basic Materials,10805.0,36.998356,4.14763,0.16101499,29.432,2.2,11568.24,11611.14,12847.76,10118.47,-7.7,-15.9,52.69,0,0
LT.NS,LARSEN & TOUBRO LTD.,Industrials,3894.0,32.0705,4.901381,0.16101499,97.64,0.97,3964.75,3926.19,4397.05,3256.29,-4.34,-11.44,52.65,0,0
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,1842.4,38.455437,7.100382,0.20151,100.415,1.32,1910.35,1923.41,2147.47,1718.87,-5.28,-14.21,50.27,0,0
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,12452.0,27.342978,3.6543498,0.16101499,0.096,1.11,13580.79,14438.7,17197.29,12079.68,-10.26,-27.59,47.42,0,0
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,1935.7,43.140182,9.3315525,0.16101499,3.016,2.26,2074.19,2254.42,2619.75,1926.2,-6.17,-26.11,46.09,0,0
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Financial Services,1020.4,31.243113,5.5655856,0.16101499,314.833,0.52,1067.07,983.31,1176.4,783.09,-6.45,-13.26,42.04,0,1
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,2464.4,49.505825,11.060693,0.16101499,17.847,1.1,2665.65,2564.85,2960.02,2096.81,-10.06,-16.74,40.24,0,0
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,4953.5,76.12571,28.005178,0.16101499,195.001,0.3,4884.15,4190.4,5186.7,3292.3,-2.85,-4.5,24.73,0,0
