ticker,name,sector,price,pe_ratio,pb_ratio,roe,debt_to_equity,dividend_yield,dma50,dma200,year_high,year_low,momentum_1m_pct,pct_from_52w_high,score,news_sentiment,news_mentions
ITC.NS,ITC LTD,Consumer Defensive,266.1,16.884518,4.598317,0.16101499,3.293,5.99,273.02,317.56,406.57,255.5,-1.95,-34.55,66.64,0,0
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,415.85,20.374817,2.2823694,0.16101499,27.398,0.16,402.46,404.19,452.42,344.9,3.55,-8.08,66.07,0,1
NTPC.NS,NTPC LTD,Utilities,328.1,10.030572,1.5665286,0.16101499,128.345,3.78,335.39,348.58,409.97,309.84,-2.41,-19.97,65.73,0,0
TCS.NS,TATA CONSULTANCY SERV LT,Technology,2092.3,15.363095,6.9049616,0.47743,10.211,3.05,2295.56,2586.69,3287.16,1966.02,-8.88,-36.35,64.88,0,1
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,1246.1,14.020027,1.736611,0.13352999,27.398,0.08,1248.0,1273.46,1417.21,1124.53,0.9,-12.07,62.94,0,0
HDFCBANK.NS,HDFC BANK LTD,Financial Services,738.6,16.154854,1.8755094,0.13838,27.398,1.76,731.22,844.11,1003.9,681.9,1.53,-26.43,62.14,0,0
INFY.NS,INFOSYS LIMITED,Technology,1023.9,13.280156,4.49352,0.32,9.541,4.81,1109.62,1298.84,1691.4,982.4,-10.5,-39.46,62.1,0,0
SBIN.NS,STATE BANK OF INDIA,Financial Services,990.1,10.58704,1.4694729,0.15177,27.398,1.74,1032.09,1006.79,1212.84,836.13,-5.52,-18.37,61.11,0,0
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,1340.8,17.336437,2.5280132,0.16073999,27.398,0.89,1412.8,1349.06,1467.63,1177.67,-5.76,-8.64,60.15,0,0
WIPRO.NS,WIPRO LTD,Technology,164.86,12.981103,2.104954,0.16128999,27.398,4.86,177.17,207.8,263.22,163.21,-8.46,-37.37,58.95,0,0
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,Basic Materials,11101.0,38.31763,4.2612534,0.16101499,29.432,2.16,11512.76,11570.93,12847.76,10118.47,-3.5,-13.6,56.83,0,0
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,1854.8,37.207626,5.325218,0.16101499,5.517,0.86,1917.31,1779.73,2046.9,1533.99,-3.5,-9.38,55.4,0,1
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,1243.9,22.636942,1.8620003,0.16101499,36.653,0.48,1292.32,1385.67,1604.38,1226.4,-5.55,-22.47,53.07,0,2
LT.NS,LARSEN & TOUBRO LTD.,Industrials,3910.2,32.40676,4.921772,0.16101499,97.64,0.97,3957.31,3935.37,4397.05,3256.29,-4.4,-11.07,52.89,0,0
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,1821.6,38.132717,7.020221,0.20151,100.415,1.31,1899.93,1920.75,2147.47,1718.87,-6.44,-15.17,49.25,0,0
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,1948.2,43.613163,9.391812,0.16101499,3.016,2.26,2035.9,2234.35,2619.75,1926.2,-3.75,-25.63,48.57,0,0
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,12222.0,26.736376,3.5859866,0.16101499,0.096,1.15,13299.4,14329.91,17197.29,12079.68,-10.64,-28.93,46.89,0,0
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Financial Services,1031.9,31.672804,5.62831,0.16101499,314.833,0.53,1067.56,984.26,1176.4,783.09,-5.1,-12.28,43.54,0,0
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,2468.0,49.40941,11.076851,0.16101499,17.847,1.13,2622.76,2563.57,2960.02,2096.81,-6.51,-16.62,43.39,0,1
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,4938.0,76.1567,27.917547,0.16101499,195.001,0.31,4949.36,4237.73,5186.7,3292.3,-3.65,-4.79,24.25,0,0
