ticker,name,sector,price,pe_ratio,pb_ratio,roe,debt_to_equity,dividend_yield,dma50,dma200,year_high,year_low,momentum_1m_pct,pct_from_52w_high,score,news_sentiment,news_mentions
ITC.NS,ITC LTD,Consumer Defensive,269.7,16.751553,4.6605268,0.16101499,3.293,6.02,272.91,317.12,406.57,255.5,-0.2,-33.66,70.32,0,0
NTPC.NS,NTPC LTD,Utilities,326.35,9.934551,1.5581731,0.16101499,128.345,3.77,335.1,348.55,409.97,309.84,-1.41,-20.4,68.14,0,2
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,406.35,19.938667,2.2302291,0.16101499,27.398,0.16,402.27,404.13,452.42,344.9,1.18,-10.18,65.78,0,0
TCS.NS,TATA CONSULTANCY SERV LT,Technology,2088.0,15.278793,6.8907704,0.47743,10.211,3.09,2293.25,2583.3,3287.16,1966.02,-8.02,-36.48,65.64,0,0
INFY.NS,INFOSYS LIMITED,Technology,1020.2,13.240752,4.477282,0.32,9.541,4.86,1108.31,1297.15,1691.4,982.4,-8.91,-39.68,63.25,0,0
HDFCBANK.NS,HDFC BANK LTD,Financial Services,731.0,16.01227,1.8557031,0.13838,27.398,1.76,729.64,843.27,1003.9,681.9,0.52,-27.18,63.1,0,1
SBIN.NS,STATE BANK OF INDIA,Financial Services,989.3,10.497665,1.4682856,0.15177,27.398,1.76,1031.33,1007.34,1212.84,837.9,-5.96,-18.43,61.44,0,0
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,1200.8,13.58986,1.6734793,0.13352999,27.398,0.08,1247.09,1273.69,1417.21,1124.53,-2.77,-15.27,60.16,0,0
WIPRO.NS,WIPRO LTD,Technology,164.71,13.176801,2.103039,0.16128999,27.398,4.82,176.95,207.5,263.22,163.21,-7.13,-37.43,60.09,0,0
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,1334.6,17.256271,2.516323,0.16073999,27.398,0.9,1411.35,1348.86,1467.63,1177.67,-6.67,-9.06,59.83,0,0
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,Basic Materials,11139.0,38.448795,4.2758403,0.16101499,29.432,2.18,11502.0,11566.49,12847.76,10118.47,-3.47,-13.3,58.14,0,0
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,1873.0,37.155327,5.377471,0.16101499,5.517,0.87,1917.68,1780.45,2046.9,1533.99,-2.55,-8.5,58.01,0,1
LT.NS,LARSEN & TOUBRO LTD.,Industrials,3898.9,31.7992,4.9075484,0.16101499,97.64,0.98,3961.82,3936.27,4397.05,3256.29,-3.45,-11.33,55.06,0,0
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,1239.8,22.32265,1.8558631,0.16101499,36.653,0.48,1291.27,1385.12,1604.38,1226.4,-4.48,-22.72,54.94,0,2
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,1821.8,38.41029,7.0209923,0.20151,100.415,1.32,1898.64,1920.43,2147.47,1718.87,-4.22,-15.17,52.12,0,0
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,1948.9,42.889526,9.395186,0.16101499,3.016,2.28,2032.95,2232.26,2619.75,1926.2,-3.57,-25.61,49.93,0,0
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,12164.0,26.593792,3.568969,0.16101499,0.096,1.15,13269.92,14314.97,17197.29,12079.68,-10.03,-29.27,46.89,0,0
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,2433.4,48.96177,10.921559,0.16101499,17.847,1.12,2622.07,2563.99,2960.02,2096.81,-7.82,-17.79,42.04,0,1
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Financial Services,991.7,30.817278,5.4090466,0.16101499,314.833,0.54,1066.87,984.2,1176.4,783.09,-8.6,-15.7,39.61,0,0
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,4877.0,75.21592,27.572676,0.16101499,195.001,0.3,4953.22,4243.25,5186.7,3292.3,-4.37,-5.97,24.37,0,0
